motion,method,frames,sample_violation_ratio_percent_tol0,max_excess_deg,median_positive_excess_deg,p95_positive_excess_deg,frame_ratio_percent_gt_0p0deg,frame_ratio_percent_gt_0p01deg,frame_ratio_percent_gt_0p1deg,frame_ratio_percent_gt_0p5deg,frame_ratio_percent_gt_1p0deg,frame_ratio_percent_gt_5p0deg
05_04,Direct Mapping,300,5.551724137931034,43.53454770659332,13.798339955453057,30.730230635395994,71.66666666666667,71.66666666666667,70.33333333333334,67.66666666666666,65.0,49.666666666666664
111_23,Direct Mapping,283,3.42390642134763,40.052512869700166,13.102920046136123,33.15722050754235,77.03180212014135,77.03180212014135,77.03180212014135,76.67844522968198,75.97173144876325,69.25795053003534
113_20,Direct Mapping,362,0.6191655553438751,16.497200063283728,2.7596555974137926,14.167908539854931,12.70718232044199,12.70718232044199,12.430939226519337,11.878453038674033,11.32596685082873,4.696132596685083
113_21,Direct Mapping,342,0.6957047791893527,2.60721710858688,0.8640699098908113,2.511219129504202,20.175438596491226,20.175438596491226,19.883040935672515,14.912280701754385,8.187134502923977,0.0
114_15,Direct Mapping,346,3.4482758620689653,25.550913455943235,10.745683186721104,21.666325284638745,81.5028901734104,81.5028901734104,81.21387283236994,79.76878612716763,76.30057803468208,66.1849710982659
124_11,Direct Mapping,250,1.806896551724138,35.46260783386262,5.164546076476948,22.605820299815786,24.8,24.8,24.8,24.4,22.0,12.0
135_04,Direct Mapping,329,1.9914055130489468,21.489214948277713,6.681820875933891,16.924094346501295,39.209726443769,39.209726443769,39.209726443769,38.90577507598784,38.297872340425535,31.914893617021278
47_01,Direct Mapping,330,2.633228840125392,15.526004600830777,5.474244684362288,12.238801438364485,56.36363636363636,56.36363636363636,56.060606060606055,55.15151515151515,51.81818181818182,32.42424242424242
76_10,Direct Mapping,342,1.1494252873563218,36.904862745162035,15.567239748887976,36.44140139136907,19.005847953216374,19.005847953216374,19.005847953216374,19.005847953216374,19.005847953216374,18.128654970760234
05_04,Basic IK,300,21.528735632183906,410.60226177453495,39.456765382512806,220.94920476206184,100.0,100.0,100.0,100.0,100.0,100.0
111_23,Basic IK,283,20.238820519069087,804.1993288427728,67.77361143176863,437.2844100734716,100.0,100.0,100.0,100.0,100.0,100.0
113_20,Basic IK,362,18.86073537816727,794.9789511387121,51.77735467751715,322.9322343896682,100.0,100.0,100.0,100.0,100.0,100.0
113_21,Basic IK,342,15.436579955636217,619.1740238146549,50.89437003156845,435.01019731744327,100.0,100.0,100.0,100.0,100.0,100.0
114_15,Basic IK,346,21.905521227825396,624.7673952198696,204.65635584905095,436.6982925334481,100.0,100.0,100.0,100.0,100.0,100.0
124_11,Basic IK,250,16.427586206896553,439.3224976633688,39.510244805262644,302.60080940046726,100.0,100.0,100.0,100.0,100.0,100.0
135_04,Basic IK,329,26.391363588722356,1157.3968645996188,46.93601778699937,399.3008966530851,100.0,100.0,100.0,100.0,100.0,100.0
47_01,Basic IK,330,18.296760710553812,104.97123779017627,26.403728904908537,41.698942840808,100.0,100.0,100.0,100.0,100.0,100.0
76_10,Basic IK,342,15.497076023391813,437.8338085592396,75.05051952369237,435.0043747370763,100.0,100.0,100.0,100.0,100.0,100.0
05_04,GMR,298,0.03471418653089563,6.3611093629270335e-15,3.1805546814635168e-15,6.043053894780681e-15,1.006711409395973,0.0,0.0,0.0,0.0,0.0
111_23,GMR,281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_20,GMR,361,0.019104021396503964,3.1805546814635168e-15,3.1805546814635168e-15,3.1805546814635168e-15,0.554016620498615,0.0,0.0,0.0,0.0,0.0
113_21,GMR,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114_15,GMR,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124_11,GMR,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135_04,GMR,328,0.010513036164844407,6.3611093629270335e-15,6.3611093629270335e-15,6.3611093629270335e-15,0.3048780487804878,0.0,0.0,0.0,0.0,0.0
47_01,GMR,328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76_10,GMR,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
